new_name,qualtrics_header_1,qualtrics_header_2,qualtrics_header_3
Elevation_feel_close,Elevation_feel_close,How much did the video make you feel... - Feel close to other people,"{""ImportId"":""QID423_18""}"
Elevation_better_person,Elevation_better_person,How much did the video make you feel... - Want to be a better person,"{""ImportId"":""QID423_19""}"
Elevation_find_ways_to_help,Elevation_find_ways_to_help,How much did the video make you feel... - Want to find new ways to help,"{""ImportId"":""QID423_20""}"
Elevation_warmth,Elevation_warmth,How much did the video make you feel... - The physical sensation of warmth in chest,"{""ImportId"":""QID424_25""}"
Elevation_Lump,Elevation_Lump,How much did the video make you feel... - Lump in throat,"{""ImportId"":""QID424_22""}"
Elevation_Tears,Elevation_Tears,How much did the video make you feel... - Tears in eyes,"{""ImportId"":""QID424_23""}"
Elevation_Goosebumps,Elevation_Goosebumps,How much did the video make you feel... - Goosebumps/chills/tingles,"{""ImportId"":""QID424_24""}"
Elevation_Uplifted,Elevation_Uplifted,How much did the video make you feel... - Uplifted,"{""ImportId"":""QID422_6""}"
Elevation_Moved,Elevation_Moved,How much did the video make you feel... - Moved,"{""ImportId"":""QID422_8""}"
Elevation_Touched,Elevation_Touched,How much did the video make you feel... - Touched,"{""ImportId"":""QID422_11""}"
Elevation_Inspired,Elevation_Inspired,How much did the video make you feel... - Inspired,"{""ImportId"":""QID422_12""}"
Elevation_Compassion,Elevation_Compassion,How much did the video make you feel... - Compassion,"{""ImportId"":""QID422_13""}"
Elevation_Admiration,Elevation_Admiration,How much did the video make you feel... - Admiration,"{""ImportId"":""QID422_14""}"
Elevation_Heartwarming,Elevation_Heartwarming,How much did the video make you feel... - Heartwarming feeling (in the metaphorical sense),"{""ImportId"":""QID422_16""}"
Positive_affect_Happy,Positive_affect_Happy,"Right now, how much do you feel... - Happy","{""ImportId"":""QID421_1""}"
Positive_affect_Entertained,Positive_affect_Entertained,"Right now, how much do you feel... - Entertained","{""ImportId"":""QID421_2""}"
Positive_affect_Amused,Positive_affect_Amused,"Right now, how much do you feel... - Amused","{""ImportId"":""QID421_3""}"
Positive_affect_Delighted,Positive_affect_Delighted,"Right now, how much do you feel... - Delighted","{""ImportId"":""QID421_4""}"
Afraid_of_Protestors,Afraid_of_Protesters,"Right now, how much do you feel... - Afraid of Black Lives Matter protestors","{""ImportId"":""QID421_28""}"
Afraid_of_Police,Afraid_of_Police,"Right now, how much do you feel... - Afraid of the police","{""ImportId"":""QID421_29""}"
Angry_at_Protestors,Angry_at_Protestors,"Right now, how much do you feel... - Angry at the Black Lives Matter protestors","{""ImportId"":""QID421_30""}"
Angry_at_Police,Angry_at_Police,"Right now, how much do you feel... - Angry at the police","{""ImportId"":""QID421_31""}"
bored,Q142_32,"Right now, how much do you feel... - Bored","{""ImportId"":""QID421_32""}"
effectiveness_of_blm_post,Predicted_BLM_Protes,"Based on your personal feeling or hunch, how effective will the Black Lives Matter protests be in influencing the way policing is done in the United States?","{""ImportId"":""QID481""}"
effectiveness_of_btb_post,Q63,"Based on your personal feeling or hunch, how effective will the Back The Blue protests be in influencing the way policing is done in the United States?","{""ImportId"":""QID519""}"
police_funding,Q92_1,"There have been proposals to reduce funding for police departments in order to invest that money in other social services.
There have also been proposals to increase funding for police departments, in order to uphold the rule of law and preserve order.
If you could choose, how much would you decrease or increase funding to police departments? - .","{""ImportId"":""QID479_1""}"
blm_support,Q496,How much do you personally support the Black Lives Matter movement?,"{""ImportId"":""QID496""}"
btb_support,Q511,How much do you personally support the Back The Blue movement?,"{""ImportId"":""QID511""}"
blm_reputation,Q73_1,"Think about how your friends, family, co-workers and neighbors would feel about you if they learned that you were supporting the Black Lives Matter movement.  
Please use the slider to rate what the overall costs or benefits to your reputation would be within your community. - >.","{""ImportId"":""QID529_1""}"
btb_reputation,Q530_1,"Think about how your friends, family, co-workers and neighbors would feel about you if they learned that you were supporting the Back the Blue movement.  
Please use the slider to rate what the overall costs or benefits to your reputation would be within your community. - >.","{""ImportId"":""QID530_1""}"
Scope_Climate_change,Scope_Climate_change,"In your opinion, to what extent is your opinion about the Black Lives Matter protest movement connected with your opinions about other issues? - Climate change","{""ImportId"":""QID499_2""}"
Scope_Immigration,Scope_Immigration,"In your opinion, to what extent is your opinion about the Black Lives Matter protest movement connected with your opinions about other issues? - Immigration","{""ImportId"":""QID499_3""}"
Scope_COVID,Scope_COVID,"In your opinion, to what extent is your opinion about the Black Lives Matter protest movement connected with your opinions about other issues? - Government COVID-19 response","{""ImportId"":""QID499_4""}"
Scope_Healthcare,Scope_Healthcare,"In your opinion, to what extent is your opinion about the Black Lives Matter protest movement connected with your opinions about other issues? - Healthcare reform","{""ImportId"":""QID499_5""}"
Scope_Poverty,Scope_Poverty,"In your opinion, to what extent is your opinion about the Black Lives Matter protest movement connected with your opinions about other issues? - Poverty","{""ImportId"":""QID499_9""}"
Scope_Other,Scope_Other,"In your opinion, to what extent is your opinion about the Black Lives Matter protest movement connected with your opinions about other issues? - Other issues","{""ImportId"":""QID499_10""}"
ii_m_bombcities,ii_m_bombcities,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Bomb cities controlled by terrorists:","{""ImportId"":""QID87_1""}"
ii_r_e_welfare,ii_r_e_welfare,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Welfare spending:","{""ImportId"":""QID87_2""}"
ii_e_taxcuts,ii_e_taxcuts,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Tax cuts:","{""ImportId"":""QID87_3""}"
ii_r_m_guncontrol,ii_r_m_guncontrol,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Gun control:","{""ImportId"":""QID87_4""}"
ii_m_militaryspending,ii_m_militaryspending,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Military spending:","{""ImportId"":""QID87_5""}"
ii_m_warantlesssearch,ii_m_warantlesssearch,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Warrantless searches:","{""ImportId"":""QID87_6""}"
ii_r_e_pollutioncontrol,ii_r_e_pollutioncontrol,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Pollution control:","{""ImportId"":""QID87_8""}"
ii_r_e_foreignaid,ii_r_e_foreignaid,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Aid to foreign countries:","{""ImportId"":""QID87_11""}"
ii_r_s_womenequality,ii_r_s_womenequality,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Women's equality:","{""ImportId"":""QID87_12""}"
ii_m_obedience,ii_m_obedience,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Obedience to authorities:","{""ImportId"":""QID87_13""}"
ii_r_m_enemycompromise,ii_r_m_enemycompromise,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Compromise/negotiation with enemies:","{""ImportId"":""QID87_14""}"
ii_m_nukes,ii_m_nukes,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Use nuclear weapons against threats to the US:","{""ImportId"":""QID87_16""}"
ii_m_drones,ii_m_drones,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Drone attacks on terror suspects:","{""ImportId"":""QID87_17""}"
ii_s_charterschools,ii_s_charterschools,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Charter schools:","{""ImportId"":""QID87_18""}"
ii_s_prayer,ii_s_prayer,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Prayer in public schools:","{""ImportId"":""QID88_1""}"
ii_r_m_pacifism,ii_r_m_pacifism,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Pacifism:","{""ImportId"":""QID88_2""}"
ii_r_e_socialism,ii_r_e_socialism,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Socialism:","{""ImportId"":""QID88_3""}"
ii_r_s_porn,ii_r_s_porn,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Pornography:","{""ImportId"":""QID88_4""}"
ii_r_m_immigration,ii_r_m_immigration,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Illegal immigration:","{""ImportId"":""QID88_5""}"
ii_s_deathpenalty,ii_s_deathpenalty,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Death penalty:","{""ImportId"":""QID88_7""}"
ii_m_waterboard,ii_m_waterboard,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Waterboarding terror suspects:","{""ImportId"":""QID88_8""}"
ii_r_s_premaritalsex,ii_r_s_premaritalsex,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Premarital sex:","{""ImportId"":""QID88_9""}"
ii_r_s_gaymarriage,ii_r_s_gaymarriage,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Gay marriage:","{""ImportId"":""QID88_10""}"
ii_r_s_abortion,ii_r_s_abortion,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Abortion rights:","{""ImportId"":""QID88_11""}"
ii_r_s_evolution,ii_r_s_evolution,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Theory of evolution:","{""ImportId"":""QID88_12""}"
ii_m_patriotism,ii_m_patriotism,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Patriotism:","{""ImportId"":""QID88_13""}"
ii_s_bibletruth,ii_s_bibletruth,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Biblical truth:","{""ImportId"":""QID88_14""}"
ii_r_e_globalization,ii_r_e_globalization,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Globalization:","{""ImportId"":""QID88_16""}"
ii_e_smallgovernment,ii_e_smallgovernment,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Small government:","{""ImportId"":""QID88_17""}"
sdo_r_group_welfare,Q65,"In setting priorities, we must consider the welfare of all groups.","{""ImportId"":""QID521""}"
sdo_against_group_equality,Q66,We should not push for group equality.,"{""ImportId"":""QID522""}"
sdo_r_for_group_equality,Q67,Group equality should be our ideal.,"{""ImportId"":""QID523""}"
sdo_group_domination,Q68,Superior groups should dominate inferior groups.,"{""ImportId"":""QID524""}"
vote_influence_blm_support,Q61,"If you voted in the recent election, how much was your decision to vote motivated by your support for the Black Lives Matter movement?","{""ImportId"":""QID517""}"
vote_influence_btb_support,Q76,"If you voted in the recent election, how much was your decision to vote motivated by your support for the Back the Blue movement?","{""ImportId"":""QID532""}"
COVID_Experience_Bored,COVID_Experience_Bored,How well do the following words describe your feelings during the COVID-19 lockdown? - Bored,"{""ImportId"":""QID475_1""}"
COVID_Experience_Frustrated,COVID_Experience_Frustrated,How well do the following words describe your feelings during the COVID-19 lockdown? - Frustrated,"{""ImportId"":""QID475_2""}"
COVID_Experience_Lonely,COVID_Experience_Lonely,How well do the following words describe your feelings during the COVID-19 lockdown? - Lonely,"{""ImportId"":""QID475_3""}"
COVID_Experience_Angry,COVID_Experience_Angry,How well do the following words describe your feelings during the COVID-19 lockdown? - Angry,"{""ImportId"":""QID475_4""}"
COVID_Experience_Happy_R,COVID_Experience_Happy_R,How well do the following words describe your feelings during the COVID-19 lockdown? - Happy,"{""ImportId"":""QID475_5""}"
race,Q100,Which categories describe you?  Select all that apply to you: - Selected Choice,"{""ImportId"":""QID100""}"
race_2,Q100_8_TEXT,"Which categories describe you?  Select all that apply to you: - Some other race, ethnicity, or origin, please specify: - Text","{""ImportId"":""QID100_8_TEXT""}"
Age,Age,What is your age in years?,"{""ImportId"":""QID97_TEXT""}"
Political_party,Political_party,"Of the following major political parties, which do you most strongly identify with? - Selected Choice","{""ImportId"":""QID140""}"
Political_party_5_TEXT,Political_party_5_TEXT,"Of the following major political parties, which do you most strongly identify with? - Other - Text","{""ImportId"":""QID140_12_TEXT""}"
Community_racial_com,Community_racial_com,"Which of the following best describes your community, including people you might interact with where you live, as well as people in your broader social networks:","{""ImportId"":""QID477""}"
gender,gender,What is your gender identity? - Selected Choice,"{""ImportId"":""QID101""}"
gender_4_TEXT,gender_4_TEXT,What is your gender identity? - other - Text,"{""ImportId"":""QID101_4_TEXT""}"
Catch_sky_color,Catch_sky_color,"When you look up on a clear day, what color is the sky?","{""ImportId"":""QID102""}"
Household_Income,Household_Income,What is your approximate annual household income in US Dollars?,"{""ImportId"":""QID103""}"
Education,Education,Your highest level of education completed?,"{""ImportId"":""QID104""}"
Direct_connection_Bl,Direct_connection_Bl,"Leaving aside feelings of sympathy you may have if you are a non-Black ally, how directly connected are you to the Black community (e.g., because you are Black, or have Black family, friends, or loved ones)?","{""ImportId"":""QID432""}"
Direct_connection_Ra,Direct_connection_Ra,"Leaving aside feelings of sympathy you may have if you are an ally, how directly connected are you t","{""ImportId"":""QID478""}"
Direct_connection_Po,Direct_connection_Po,"Leaving aside feelings of sympathy you may have, how directly connected are you to the law enforcement community (e.g., because you are a law enforcement officer, or have family, friends, or loved ones who are)?","{""ImportId"":""QID492""}"
Catch_Distractions,Catch_Distractions,"During the study, did technical problems or occurrences in your environment (e.g., loud noises, phone calls) cause significant distraction?","{""ImportId"":""QID92""}"
Catch_Video_Stream,Catch_Video_Stream,Did the video stream properly?,"{""ImportId"":""QID426""}"
Catch_Honesty,Catch_Honesty,"In all honesty, did you pay close attention during this study? (Please answer honestly--your answer will improve the quality of the study, but will not affect your payment or Mechanical Turk rating in any way.)","{""ImportId"":""QID145""}"
Random ID,Random ID,Random ID,"{""ImportId"":""Random ID""}"
