new_name,qualtrics_header_1,qualtrics_header_2,qualtrics_header_3
Elevation_Moved,Elevation_Moved,How much did the video make you feel... - Moved,"{""ImportId"":""QID422_8""}"
Elevation_Touched,Elevation_Touched,How much did the video make you feel... - Touched,"{""ImportId"":""QID422_11""}"
Elevation_Inspired,Elevation_Inspired,How much did the video make you feel... - Inspired,"{""ImportId"":""QID422_12""}"
Elevation_Compassion,Elevation_Compassion,How much did the video make you feel... - Compassion,"{""ImportId"":""QID422_13""}"
Elevation_Admiration,Elevation_Admiration,How much did the video make you feel... - Admiration,"{""ImportId"":""QID422_14""}"
Elevation_Heartwarming,Elevation_Heartwarming,How much did the video make you feel... - Heartwarming feeling (in the metaphorical sense),"{""ImportId"":""QID422_16""}"
Positive_affect_Happy,Positive_affect_Happy,"Right now, how much do you feel... - Happy","{""ImportId"":""QID421_1""}"
Positive_affect_Entertained,Positive_affect_Entertained,"Right now, how much do you feel... - Entertained","{""ImportId"":""QID421_2""}"
Positive_affect_Amused,Positive_affect_Amused,"Right now, how much do you feel... - Amused","{""ImportId"":""QID421_3""}"
Positive_affect_Delighted,Positive_affect_Delighted,"Right now, how much do you feel... - Delighted","{""ImportId"":""QID421_4""}"
Afraid_of_Protestors,Afraid_of_Protesters,"Right now, how much do you feel... - Afraid of the Black Lives Matter protestors","{""ImportId"":""QID421_28""}"
Afraid_of_Police,Afraid_of_Police,"Right now, how much do you feel... - Afraid of the police","{""ImportId"":""QID421_29""}"
Angry_at_Protestors,Angry_at_Protestors,"Right now, how much do you feel... - Angry at the Black Lives Matter protestors","{""ImportId"":""QID421_30""}"
Angry_at_Police,Angry_at_Police,"Right now, how much do you feel... - Angry at the police","{""ImportId"":""QID421_31""}"
effectiveness_of_blm_post,Predicted_BLM_Protes,"In your opinion, how much of an effect will the Black Lives Matter protests have in influencing the way policing is done?","{""ImportId"":""QID481""}"
blm_support_cause,Q496,"How much do you support the cause of the Black Lives Matter movement, independent of your views of the protests?","{""ImportId"":""QID496""}"
blm_support_protests,Q110,"How much do you support the Black Lives Matter protests, independent of your views of the cause?","{""ImportId"":""QID497""}"
police_funding,Q92_1,"There have been proposals to reduce funding for police departments in order to invest that money in other social services.
There have also been proposals to increase funding for police departments, in order to uphold the rule of law and preserve order.
If you could choose, how much would you decrease or increase funding to police departments? - How much would you adjust police funding?","{""ImportId"":""QID479_1""}"
tactic_looting,Aggr_Protest_Looting,"In your opinion, how acceptable are the following actions in relation to the Black Lives Matter protests? - Looting businesses that have discriminated","{""ImportId"":""QID488_1""}"
tactic_burn_stations,Aggr_Protest_Burn_station,"In your opinion, how acceptable are the following actions in relation to the Black Lives Matter protests? - Setting fire to police stations","{""ImportId"":""QID488_2""}"
tactic_loud_chants,Aggr_Protest_Loud,"In your opinion, how acceptable are the following actions in relation to the Black Lives Matter protests? - Loud chanting","{""ImportId"":""QID488_3""}"
tactic_block_traffic,Aggr_Protest_Traffic,"In your opinion, how acceptable are the following actions in relation to the Black Lives Matter protests? - Blocking traffic","{""ImportId"":""QID488_4""}"
tactic_gathering,Aggr_Protest_Gathering,"In your opinion, how acceptable are the following actions in relation to the Black Lives Matter protests? - Gathering without permits","{""ImportId"":""QID488_5""}"
tactic_kneeling,Aggr_Protest_Kneeling,"In your opinion, how acceptable are the following actions in relation to the Black Lives Matter protests? - Kneeling in protest","{""ImportId"":""QID488_7""}"
tactic_singing,Aggr_Protest_Singing,"In your opinion, how acceptable are the following actions in relation to the Black Lives Matter protests? - Group singing in protest","{""ImportId"":""QID488_8""}"
tactic_silence,Aggr_Protest_Silence,"In your opinion, how acceptable are the following actions in relation to the Black Lives Matter protests? - Shared moments of silence","{""ImportId"":""QID488_9""}"
Scope_Climate_change,Scope_Climate_change,"In your opinion, to what extent is your level of support for the Black Lives Matter protest movement connected with your level of support for protest against other issues facing society? 
(If your level of support for the Black Lives Matter protests is not connected with your views of the other topics, select 'Not at all'.) - Climate change","{""ImportId"":""QID499_2""}"
Scope_Immigration,Scope_Immigration,"In your opinion, to what extent is your level of support for the Black Lives Matter protest movement connected with your level of support for protest against other issues facing society? 
(If your level of support for the Black Lives Matter protests is not connected with your views of the other topics, select 'Not at all'.) - Immigration","{""ImportId"":""QID499_3""}"
Scope_COVID,Scope_COVID,"In your opinion, to what extent is your level of support for the Black Lives Matter protest movement connected with your level of support for protest against other issues facing society? 
(If your level of support for the Black Lives Matter protests is not connected with your views of the other topics, select 'Not at all'.) - Federal COVID-19 response","{""ImportId"":""QID499_4""}"
Scope_Healthcare,Scope_Healthcare,"In your opinion, to what extent is your level of support for the Black Lives Matter protest movement connected with your level of support for protest against other issues facing society? 
(If your level of support for the Black Lives Matter protests is not connected with your views of the other topics, select 'Not at all'.) - Healthcare reform","{""ImportId"":""QID499_5""}"
Scope_Poverty,Scope_Poverty,"In your opinion, to what extent is your level of support for the Black Lives Matter protest movement connected with your level of support for protest against other issues facing society? 
(If your level of support for the Black Lives Matter protests is not connected with your views of the other topics, select 'Not at all'.) - Poverty","{""ImportId"":""QID499_9""}"
Scope_Other,Scope_Other,"In your opinion, to what extent is your level of support for the Black Lives Matter protest movement connected with your level of support for protest against other issues facing society? 
(If your level of support for the Black Lives Matter protests is not connected with your views of the other topics, select 'Not at all'.) - Other issues","{""ImportId"":""QID499_10""}"
ii_m_bombcities,ii_m_bombcities,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Bomb cities controlled by terrorists:","{""ImportId"":""QID87_1""}"
ii_r_e_welfare,ii_r_e_welfare,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Welfare spending:","{""ImportId"":""QID87_2""}"
ii_e_taxcuts,ii_e_taxcuts,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Tax cuts:","{""ImportId"":""QID87_3""}"
ii_r_m_guncontrol,ii_r_m_guncontrol,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Gun control:","{""ImportId"":""QID87_4""}"
ii_m_militaryspending,ii_m_militaryspending,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Military spending:","{""ImportId"":""QID87_5""}"
ii_m_warantlesssearch,ii_m_warantlesssearch,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Warrantless searches:","{""ImportId"":""QID87_6""}"
ii_r_e_pollutioncontrol,ii_r_e_pollutioncontrol,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Pollution control:","{""ImportId"":""QID87_8""}"
ii_r_e_foreignaid,ii_r_e_foreignaid,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Aid to foreign countries:","{""ImportId"":""QID87_11""}"
ii_r_s_womenequality,ii_r_s_womenequality,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Women's equality:","{""ImportId"":""QID87_12""}"
ii_m_obedience,ii_m_obedience,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Obedience to authorities:","{""ImportId"":""QID87_13""}"
ii_r_m_enemycompromise,ii_r_m_enemycompromise,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Compromise/negotiation with enemies:","{""ImportId"":""QID87_14""}"
ii_m_nukes,ii_m_nukes,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Use nuclear weapons against threats to the US:","{""ImportId"":""QID87_16""}"
ii_m_drones,ii_m_drones,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Drone attacks on terror suspects:","{""ImportId"":""QID87_17""}"
ii_s_charterschools,ii_s_charterschools,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Charter schools:","{""ImportId"":""QID87_18""}"
ii_s_prayer,ii_s_prayer,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Prayer in public schools:","{""ImportId"":""QID88_1""}"
ii_r_m_pacifism,ii_r_m_pacifism,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Pacifism:","{""ImportId"":""QID88_2""}"
ii_r_e_socialism,ii_r_e_socialism,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Socialism:","{""ImportId"":""QID88_3""}"
ii_r_s_porn,ii_r_s_porn,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Pornography:","{""ImportId"":""QID88_4""}"
ii_r_m_immigration,ii_r_m_immigration,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Illegal immigration:","{""ImportId"":""QID88_5""}"
ii_s_deathpenalty,ii_s_deathpenalty,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Death penalty:","{""ImportId"":""QID88_7""}"
ii_m_waterboard,ii_m_waterboard,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Waterboarding terror suspects:","{""ImportId"":""QID88_8""}"
ii_r_s_premaritalsex,ii_r_s_premaritalsex,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Premarital sex:","{""ImportId"":""QID88_9""}"
ii_r_s_gaymarriage,ii_r_s_gaymarriage,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Gay marriage:","{""ImportId"":""QID88_10""}"
ii_r_s_abortion,ii_r_s_abortion,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Abortion rights:","{""ImportId"":""QID88_11""}"
ii_r_s_evolution,ii_r_s_evolution,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Theory of evolution:","{""ImportId"":""QID88_12""}"
ii_m_patriotism,ii_m_patriotism,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Patriotism:","{""ImportId"":""QID88_13""}"
ii_s_bibletruth,ii_s_bibletruth,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Biblical truth:","{""ImportId"":""QID88_14""}"
ii_r_e_globalization,ii_r_e_globalization,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Globalization:","{""ImportId"":""QID88_16""}"
ii_e_smallgovernment,ii_e_smallgovernment,"Please indicate whether you agree or disagree, or are uncertain, with regard to each topic listed below: - Small government:","{""ImportId"":""QID88_17""}"
COVID_Experience_Bored,COVID_Experience_Bored,How well do the following words describe your feelings during the COVID-19 lockdown? - Bored,"{""ImportId"":""QID475_1""}"
COVID_Experience_Frustrated,COVID_Experience_Frustrated,How well do the following words describe your feelings during the COVID-19 lockdown? - Frustrated,"{""ImportId"":""QID475_2""}"
COVID_Experience_Lonely,COVID_Experience_Lonely,How well do the following words describe your feelings during the COVID-19 lockdown? - Lonely,"{""ImportId"":""QID475_3""}"
COVID_Experience_Angry,COVID_Experience_Angry,How well do the following words describe your feelings during the COVID-19 lockdown? - Angry,"{""ImportId"":""QID475_4""}"
COVID_Experience_Happy_R,COVID_Experience_Happy_R,How well do the following words describe your feelings during the COVID-19 lockdown? - Happy,"{""ImportId"":""QID475_5""}"
race,Q100,Which categories describe you?  Select all that apply to you: - Selected Choice,"{""ImportId"":""QID100""}"
race_2,Q100_8_TEXT,"Which categories describe you?  Select all that apply to you: - Some other race, ethnicity, or origin, please specify: - Text","{""ImportId"":""QID100_8_TEXT""}"
Age,Age,What is your age in years?,"{""ImportId"":""QID97_TEXT""}"
Political_party,Political_party,"Of the following major political parties, which do you most strongly identify with? - Selected Choice","{""ImportId"":""QID140""}"
Political_party_5_TEXT,Political_party_5_TEXT,"Of the following major political parties, which do you most strongly identify with? - Other - Text","{""ImportId"":""QID140_12_TEXT""}"
Community_racial_com,Community_racial_com,"Which of the following best describes your community, including people you might interact with where you live, as well as people in your broader social networks:","{""ImportId"":""QID477""}"
gender,gender,What is your gender identity? - Selected Choice,"{""ImportId"":""QID101""}"
gender_4_TEXT,gender_4_TEXT,What is your gender identity? - other - Text,"{""ImportId"":""QID101_4_TEXT""}"
catch_sky_color,Catch_sky_color,"When you look up on a clear day, what color is the sky?","{""ImportId"":""QID102""}"
Household_Income,Household_Income,What is your approximate annual household income in US Dollars?,"{""ImportId"":""QID103""}"
Education,Education,Your highest level of education completed?,"{""ImportId"":""QID104""}"
Direct_connection_Bl,Direct_connection_Bl,"Leaving aside feelings of sympathy you may have if you are a non-Black ally, how directly connected are you to the Black community (e.g., because you are Black, or have Black family, friends, or loved ones)?","{""ImportId"":""QID432""}"
Direct_connection_Ra,Direct_connection_Ra,"Leaving aside feelings of sympathy you may have if you are an ally, how directly connected are you t","{""ImportId"":""QID478""}"
Direct_connection_Po,Direct_connection_Po,"Leaving aside feelings of sympathy you may have, how directly connected are you to the law enforcement community (e.g., because you are a law enforcement officer, or have family, friends, or loved ones who are)?","{""ImportId"":""QID492""}"
Direct_connection_El,Direct_connection_El,"Leaving aside feelings of sympathy you may have, how directly connected are you to elites in American society -- the politicians, media figures, and wealthy individuals who most strongly influence decision-making in this country (e.g., because you are an elite, or have family, friends, or loved ones who are)?","{""ImportId"":""QID495""}"
Catch_Distractions,Catch_Distractions,"During the study, did technical problems or occurrences in your environment (e.g., loud noises, phone calls) cause significant distraction?","{""ImportId"":""QID92""}"
Catch_Video_Stream,Catch_Video_Stream,Did the video stream properly?,"{""ImportId"":""QID426""}"
Catch_Honesty,Catch_Honesty,"In all honesty, did you pay close attention during this study? (Please answer honestly--your answer will improve the quality of the study, but will not affect your payment or Mechanical Turk rating in any way.)","{""ImportId"":""QID145""}"
Random ID,Random ID,Random ID,"{""ImportId"":""Random ID""}"
